employee_id,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
3625,4,30,3,2,0,0,72,0
38771,1,27,4,4,1,0,72,1
18959,4,36,4,7,0,0,82,0
21137,1,35,4,6,0,0,77,0
26097,1,34,5,7,1,0,51,1
38052,1,37,5,3,0,1,92,1
41746,1,27,,1,1,0,58,0
72744,2,47,3,5,1,0,71,0
5461,1,28,,1,1,0,83,0
15227,1,40,5,5,0,0,68,0
66874,1,30,,1,0,0,50,0
42068,1,38,5,9,1,0,61,0
54825,1,30,3,2,0,0,47,0
77709,1,28,5,3,0,0,46,0
43712,2,28,5,4,1,0,67,0
74783,1,35,4,7,0,0,58,0
19318,1,32,3,8,0,0,89,1
12096,1,36,5,8,0,0,50,0
5102,1,24,,1,1,0,56,0
29521,1,27,3,4,1,0,78,0
36371,2,34,3,7,0,0,56,0
51164,1,31,4,4,1,1,78,0
17812,1,30,4,2,0,0,77,0
7606,2,30,3,7,1,1,76,0
50593,1,31,,1,1,0,56,0
73735,1,30,5,3,1,0,84,0
29313,1,28,3,2,0,0,57,0
40262,2,28,3,5,0,0,81,0
36904,1,29,3,2,0,0,51,0
62552,1,46,3,11,1,0,51,0
63285,1,31,5,4,1,0,80,0
74203,1,28,1,4,0,0,72,0
75344,1,31,4,6,0,0,50,0
74018,1,37,3,9,0,0,48,0
34985,2,34,5,8,0,0,88,1
35930,1,25,5,3,1,0,70,1
6708,1,40,4,4,1,0,57,0
5515,1,43,3,7,1,0,56,1
53373,1,36,1,5,0,0,56,0
69316,1,29,3,3,0,0,63,0
41009,2,35,3,2,0,0,56,0
50622,1,34,5,2,0,0,84,0
30106,1,32,4,4,1,0,45,0
45157,1,27,,1,1,0,50,0
23523,1,29,3,5,0,0,75,0
74349,1,34,1,4,0,0,48,0
70543,1,37,5,7,1,0,70,0
42245,1,33,3,3,1,0,73,0
34405,1,33,5,4,1,0,67,0
4134,1,39,1,8,0,0,45,0
23599,1,34,4,7,0,0,82,0
942,2,32,4,6,0,0,84,0
5281,1,34,4,6,0,0,53,0
197,1,29,5,6,1,0,61,0
37574,2,28,1,2,0,0,50,0
26773,1,28,2,5,0,0,75,0
70034,2,35,3,9,0,0,70,0
40565,2,40,3,3,0,0,86,0
17193,2,27,2,4,0,0,54,0
76550,3,26,3,3,1,0,70,0
53841,1,43,2,12,0,0,57,0
28314,1,23,,1,0,0,61,0
30196,1,29,5,6,1,0,84,0
29757,1,43,3,15,0,0,51,0
6073,3,27,4,4,0,0,49,0
9863,1,26,4,4,1,0,70,0
34306,1,31,5,5,1,0,72,0
34041,1,40,4,11,0,0,58,0
21356,2,39,5,12,1,0,55,0
29540,2,30,3,6,0,0,57,0
51669,1,47,4,4,1,0,77,0
33825,1,34,4,7,1,0,48,1
6254,1,33,4,9,0,0,64,0
11645,1,41,5,7,0,0,51,0
3231,1,29,1,4,0,0,80,0
7030,1,32,3,4,0,0,86,0
54198,1,47,5,9,0,0,68,0
62293,1,35,4,3,0,0,65,0
25312,1,27,4,2,0,0,75,0
75610,1,29,1,3,0,0,81,0
16518,2,36,3,9,0,0,49,0
42747,2,35,1,8,0,0,39,0
67980,2,34,3,2,0,0,70,0
53630,1,34,4,5,1,1,94,1
72423,1,39,3,2,1,0,60,0
73022,1,26,5,2,1,0,51,0
63976,1,30,5,4,0,0,56,0
60761,1,31,4,2,0,0,62,0
57228,1,44,5,6,0,0,48,0
14912,1,38,3,4,1,0,49,0
22725,1,40,1,3,0,0,78,0
18981,1,50,5,6,0,1,58,0
50845,1,44,3,12,0,0,70,0
11800,1,23,1,2,0,0,69,0
16351,1,36,1,2,0,0,53,0
75881,1,25,1,4,0,0,80,0
73200,1,34,5,4,1,0,58,0
17833,1,28,,1,0,0,85,0
58338,2,30,5,6,1,0,81,0
40187,1,35,1,8,0,0,67,0
70193,1,33,4,8,0,0,86,0
27188,1,30,3,4,1,0,80,0
24291,2,27,5,3,1,0,85,0
43676,4,29,,1,0,0,68,0
52231,1,43,3,3,0,0,58,0
34241,2,28,3,5,1,0,86,0
76661,1,31,5,3,1,0,68,0
50595,1,43,4,12,0,0,58,0
67673,1,35,5,9,1,0,60,0
10547,2,35,3,9,0,0,49,0
73405,1,50,3,8,1,0,59,0
73114,1,26,4,3,0,0,50,0
22572,1,32,3,5,1,0,52,0
62923,1,38,5,2,1,1,93,1
57235,1,22,4,2,0,0,51,0
22300,1,28,,1,1,0,52,0
24090,1,37,3,9,0,0,69,0
57298,2,54,3,9,1,0,86,0
25629,1,36,3,8,0,0,51,0
71339,1,35,3,8,0,0,78,0
54714,1,39,3,4,1,0,85,0
7390,1,31,5,4,1,0,63,0
9563,2,38,3,7,1,1,60,0
39107,1,28,1,2,0,0,48,0
19445,3,26,2,3,0,0,52,0
42636,1,29,,1,0,0,54,0
32557,1,30,3,4,0,0,84,0
43396,2,37,2,4,1,0,57,1
24414,1,25,,1,1,0,76,0
63237,1,26,4,2,0,0,82,0
32838,1,31,4,4,0,0,78,0
23003,1,38,5,7,1,0,82,0
45198,1,39,4,9,0,0,49,0
40376,1,30,5,4,0,1,50,0
60176,1,34,5,8,1,0,67,0
67652,1,33,3,5,1,0,72,0
15476,1,29,5,3,1,0,78,0
55811,1,28,4,2,1,0,61,0
15737,1,24,,1,0,0,56,0
10058,2,26,4,2,1,0,87,0
73435,1,34,5,4,0,0,64,0
51255,1,35,3,7,0,0,46,0
70060,1,43,3,14,0,0,79,0
51473,1,34,1,8,0,0,39,0
71904,2,38,3,10,0,0,88,0
76080,1,34,1,5,0,0,54,0
33357,1,41,4,4,0,0,63,0
53502,2,29,1,4,0,0,61,0
26409,1,33,4,3,0,0,61,0
59608,1,41,4,5,1,0,48,0
28687,3,38,3,11,0,0,57,0
34312,2,54,4,23,0,0,66,0
11438,2,34,2,8,0,0,49,0
11794,2,26,5,3,1,0,87,0
48756,1,35,5,3,0,0,59,0
35873,1,28,,1,0,0,62,0
13970,1,36,3,4,0,0,60,0
49868,1,45,3,15,0,0,87,0
25261,1,38,4,7,0,0,66,0
44536,1,26,2,4,0,0,47,0
55550,1,31,3,4,0,0,85,0
27989,1,32,3,7,0,0,87,0
12598,1,29,4,4,0,0,78,0
32877,1,40,3,12,0,0,50,0
30682,2,29,4,6,0,0,75,0
1829,2,31,5,7,1,0,87,0
2177,1,32,5,6,1,0,58,0
51771,1,42,5,11,0,0,67,0
26026,1,30,5,3,1,0,65,0
64977,1,24,3,2,1,0,70,0
44585,1,35,3,7,0,0,56,0
43562,2,32,1,3,0,0,80,0
56287,1,22,3,2,0,0,47,0
19100,2,44,5,14,0,0,48,0
58203,2,39,3,9,0,0,58,0
12504,1,46,4,17,0,0,85,0
49126,1,29,2,5,0,0,77,0
66469,1,26,1,3,0,0,59,0
53350,1,35,4,5,0,0,61,0
22031,1,29,4,2,1,0,95,1
36185,1,30,2,9,0,0,79,0
58415,1,45,4,5,0,0,50,0
71763,1,30,1,6,0,0,47,0
62742,1,28,2,4,0,0,59,0
33619,1,46,5,10,1,0,76,0
41212,1,27,2,2,0,0,69,0
40204,1,34,2,5,0,0,47,0
59131,2,32,5,3,1,0,86,0
12559,1,35,5,10,0,0,63,0
30433,1,36,4,3,1,0,66,0
13150,1,58,1,13,0,0,70,0
9616,1,29,4,4,0,0,57,0
26563,1,33,3,3,1,0,67,0
38331,1,32,5,6,0,0,62,0
18651,1,25,5,2,1,0,59,0
45004,4,41,2,9,0,0,68,0
11892,1,25,,1,1,0,69,0
16859,1,50,1,7,0,1,79,0
26107,1,30,1,7,0,0,53,0
22511,1,28,,1,0,0,81,0
22865,1,40,5,5,0,1,83,1
67467,1,26,3,2,0,0,61,0
2268,1,35,5,8,1,0,81,0
33517,1,37,3,7,1,0,52,0
27605,1,34,3,3,0,0,75,1
69349,1,25,3,2,0,0,57,0
45496,1,22,5,2,0,0,62,1
66262,2,26,5,2,1,0,68,1
55425,1,31,4,7,1,0,80,0
29543,4,31,5,3,1,0,60,0
36547,1,32,3,6,1,0,86,0
11205,1,36,5,8,0,0,48,0
469,1,57,3,19,0,0,81,0
44703,1,42,4,9,0,0,51,0
14847,1,28,3,3,0,0,48,0
43689,2,33,4,3,1,0,86,0
72157,1,41,3,3,0,0,86,0
74579,2,26,,1,0,0,61,0
51544,1,32,5,5,0,1,84,1
5128,1,48,3,8,0,0,57,0
37952,1,41,3,7,0,0,58,0
39914,1,31,5,4,1,0,82,0
74332,1,37,4,5,0,0,54,0
42886,1,30,1,4,0,0,84,0
53988,1,26,5,2,1,0,60,0
49775,1,44,5,11,0,0,42,0
66965,1,44,3,10,0,0,60,0
70197,1,30,4,2,1,0,96,1
66210,1,24,3,2,0,0,59,0
71008,1,40,1,10,0,0,49,0
52132,1,32,3,5,0,0,80,0
72604,1,40,5,7,0,0,53,0
66802,2,24,4,3,1,0,78,0
55730,1,45,4,15,0,0,64,1
8284,1,34,5,5,0,0,60,1
69715,1,58,4,18,1,0,60,0
36117,1,35,3,7,0,0,82,0
56139,1,24,4,2,0,0,51,0
15924,1,35,2,8,0,0,48,0
41776,1,31,1,2,0,0,81,0
25949,1,33,3,5,0,0,60,0
51509,1,44,3,14,0,0,47,0
36936,1,24,2,2,1,0,52,1
25572,2,34,2,10,0,0,69,0
11337,1,37,5,2,0,0,54,0
34965,2,31,3,4,0,0,63,0
38318,1,32,3,8,0,0,69,0
60969,1,33,5,7,1,0,57,0
72765,1,53,3,11,0,0,57,0
16951,2,37,5,4,1,0,57,0
54416,1,30,2,5,0,0,49,0
4585,1,35,5,3,1,0,81,0
64140,1,32,3,4,0,0,80,0
35746,1,45,3,9,0,0,61,0
6587,1,29,,1,0,0,69,0
1901,2,31,3,4,0,0,53,0
56849,2,34,3,8,0,0,80,0
56233,1,24,,1,1,0,86,0
15844,1,31,5,7,1,0,59,0
1497,1,37,3,6,1,0,47,0
11488,1,42,3,12,0,0,48,0
59616,1,40,3,6,0,0,72,0
9002,1,37,5,5,1,0,64,0
63753,1,50,3,8,0,0,57,0
9192,1,28,,1,0,0,61,0
30143,1,57,3,13,0,0,53,0
23360,2,42,2,10,0,0,46,0
53301,1,34,3,8,0,0,61,0
29073,1,34,5,8,1,0,54,0
36460,1,29,,1,0,0,62,0
3171,1,32,4,7,1,0,59,0
55062,1,27,5,2,0,0,61,0
64798,3,30,,1,1,0,83,0
7908,1,46,3,17,0,0,83,0
70048,1,37,3,10,1,0,49,1
63757,1,48,4,13,0,0,52,0
19046,1,40,5,12,1,0,84,0
37427,1,32,3,6,0,0,73,0
58138,1,33,1,7,0,0,48,0
68064,1,35,3,6,0,0,66,0
6711,1,23,3,2,0,0,51,0
51002,1,32,3,4,0,0,86,0
5132,4,31,3,6,0,0,59,0
15801,1,40,4,13,0,0,60,0
47265,1,43,2,7,0,0,70,0
26798,1,38,3,6,0,0,60,0
72203,1,36,5,8,0,0,49,0
46862,1,49,5,20,1,0,65,0
75629,1,32,1,4,0,0,50,0
10452,2,26,3,2,0,0,91,0
37017,1,55,3,18,0,0,87,0
76427,1,35,3,5,0,0,50,0
46925,1,36,4,6,1,0,59,0
43828,1,29,5,4,1,0,45,0
58383,1,46,3,19,1,0,72,0
20660,2,30,3,4,0,0,84,0
46166,1,51,5,19,0,0,40,0
11123,1,37,3,7,0,0,54,0
67946,1,27,3,2,0,0,88,0
41763,1,43,1,4,0,0,49,0
40628,1,31,3,7,0,0,51,0
61482,2,38,4,9,1,0,65,0
63083,1,43,1,10,0,0,45,0
33789,3,29,3,4,0,0,81,0
3540,1,30,3,2,0,0,79,0
51292,1,49,5,22,1,0,50,0
137,1,49,4,5,0,0,90,0
73204,1,36,2,5,0,0,48,0
73753,1,33,1,3,0,0,71,0
49737,3,52,3,25,0,0,49,0
22462,1,29,,1,0,0,53,0
36905,1,37,3,11,0,0,56,0
16004,1,25,3,3,0,0,61,0
10002,1,24,,1,1,0,52,0
43176,1,37,4,13,0,0,79,0
12538,1,35,5,10,1,0,59,1
56140,1,33,3,4,1,0,76,1
71196,1,33,5,9,1,0,71,0
57893,1,59,3,28,0,0,78,0
5640,1,29,,1,0,0,88,0
41208,1,38,2,8,0,0,59,0
55857,1,48,4,13,0,0,57,0
27907,1,31,3,1,1,0,62,0
5933,1,32,1,5,0,0,77,0
44678,3,24,3,2,0,0,63,0
48266,2,37,5,5,1,0,77,0
46639,1,32,5,8,1,0,46,1
21523,1,31,3,2,0,0,48,0
32437,2,45,3,5,1,1,61,0
65689,1,57,5,6,0,0,45,0
73819,2,39,2,8,0,0,59,0
74019,1,42,1,4,0,0,70,0
76698,1,45,3,4,0,1,65,1
70387,1,41,3,3,1,0,61,0
56162,1,41,1,11,0,0,74,0
26260,1,34,1,7,0,0,50,0
53188,1,47,5,18,0,0,52,0
34074,1,33,5,7,1,0,51,0
38934,1,48,3,15,0,0,69,1
39799,1,34,4,3,0,0,60,0
40775,1,35,5,4,1,0,47,0
41928,1,35,5,4,1,0,84,0
31364,2,26,3,2,0,0,79,0
25351,1,45,3,17,0,0,49,0
72690,1,31,3,1,0,0,54,0
11666,1,30,5,7,0,0,49,0
10167,1,46,1,5,0,0,50,0
43399,1,60,5,4,1,0,56,0
72916,1,44,5,11,1,0,55,0
19440,3,35,3,3,0,0,86,0
55444,2,33,2,6,0,0,52,0
10360,1,38,4,8,1,0,55,0
66637,1,39,3,5,0,0,80,0
63026,1,30,3,2,0,0,50,0
53981,1,31,,1,1,0,65,0
66248,1,57,4,3,0,0,50,0
73279,1,34,1,7,0,0,50,0
57365,1,38,3,4,1,0,66,0
36691,1,24,,1,1,0,55,0
31987,1,45,3,16,0,0,87,1
73265,1,40,1,11,0,0,53,0
62530,2,32,3,3,0,0,70,0
52716,2,29,3,2,0,0,48,0
12930,1,39,4,11,0,0,59,0
70371,1,32,3,7,0,0,80,0
32774,2,57,4,7,1,0,58,0
78119,1,36,3,4,1,0,72,0
50338,1,34,1,5,0,0,46,0
64630,1,33,5,7,1,0,50,0
1830,1,39,2,4,1,0,81,0
60743,2,32,4,8,0,0,59,0
77734,1,31,3,6,0,0,77,0
51440,1,31,1,7,1,0,52,0
58579,1,25,3,3,0,0,68,0
38123,1,43,5,4,1,0,50,0
57033,1,25,,1,0,0,65,0
42513,1,50,1,16,0,0,68,0
29146,3,32,3,4,1,0,64,1
72935,1,28,3,2,0,0,59,0
16889,1,32,1,5,0,0,51,0
6181,1,34,5,5,0,0,49,0
9025,1,30,5,4,0,0,55,0
65024,1,33,5,6,0,0,74,1
61874,2,46,4,19,1,0,70,0
30900,1,35,4,10,1,0,50,1
44381,1,33,5,8,1,0,59,1
805,1,30,4,4,0,0,59,0
10468,2,33,5,4,1,0,71,0
54127,1,28,4,5,0,0,52,0
63027,1,38,3,8,0,0,84,0
26944,1,34,2,7,1,0,49,1
6788,2,40,,1,1,0,51,0
51318,2,30,3,5,0,0,73,0
30551,1,29,2,7,0,0,60,0
74141,1,30,3,3,0,0,83,0
16399,1,38,4,10,0,0,50,0
10389,3,40,3,11,0,0,60,0
15369,1,29,4,5,0,0,86,0
41337,1,53,4,25,0,0,47,0
633,1,26,3,2,0,0,49,0
30155,2,28,,1,0,0,82,0
59337,1,26,,1,1,0,84,0
3968,1,28,3,4,0,0,65,0
1709,1,30,3,3,0,0,51,0
1588,1,59,4,4,1,0,56,0
573,1,29,,1,1,0,86,0
24750,1,31,3,4,0,0,83,0
9098,1,26,3,2,0,0,69,0
41768,1,37,3,10,0,0,62,0
43660,1,25,3,1,0,0,62,0
8027,1,27,2,3,1,0,78,0
15774,1,39,4,10,0,0,60,0
4857,1,36,5,3,1,0,91,1
58988,2,35,5,6,1,0,91,1
54550,1,28,,1,0,0,81,0
31552,1,30,,1,1,0,50,0
76968,1,37,5,9,1,0,75,0
73203,2,35,1,9,0,0,80,0
60095,1,30,1,5,0,0,54,0
6731,1,30,5,1,0,0,96,1
39725,1,45,4,3,0,0,83,0
70021,1,36,3,7,1,0,71,0
22958,1,37,3,4,0,0,50,0
21955,2,39,3,4,0,0,73,0
72984,1,37,5,6,0,0,59,0
63667,1,28,,1,0,0,82,1
4147,1,40,3,12,0,0,70,0
28714,1,30,5,3,1,0,52,0
51959,1,36,4,7,0,0,56,0
68716,1,27,2,4,0,0,57,0
30802,1,29,1,4,0,0,57,0
34542,7,31,3,5,1,0,82,0
32970,1,36,4,7,1,0,67,0
10936,1,30,4,4,0,0,57,0
20326,2,32,3,6,1,0,86,0
38445,1,29,5,2,0,0,50,0
18621,1,29,,1,0,0,45,0
10345,2,38,1,8,0,0,47,0
25834,1,51,3,15,0,0,71,0
333,1,32,3,8,0,0,58,0
28850,1,36,3,5,1,0,83,0
61888,2,30,5,5,1,0,57,0
30928,1,26,3,5,0,0,56,0
21230,2,32,5,3,1,0,83,1
22445,2,26,3,3,0,0,50,0
57206,1,30,4,2,0,0,83,0
57587,1,28,1,2,0,0,50,0
29950,1,40,3,18,1,0,55,1
1825,1,33,1,6,0,0,66,0
5272,1,24,,1,0,0,73,1
49389,1,27,,1,1,0,59,0
66875,1,30,4,2,1,0,61,0
51071,1,37,3,9,0,0,44,0
62499,1,33,3,9,0,0,58,0
4566,2,31,3,2,0,0,84,0
77674,1,43,3,3,0,0,48,0
70679,1,39,1,10,1,0,52,1
20516,1,24,3,2,1,1,81,1
45145,1,41,2,12,0,0,71,0
45721,1,35,5,4,1,0,85,0
52241,1,24,,1,0,0,49,0
23337,3,33,2,7,0,0,53,0
8386,1,35,3,3,0,0,47,0
70491,1,30,2,8,1,1,50,0
23241,1,29,3,2,0,0,68,0
54003,1,28,5,2,1,0,50,0
24843,1,48,5,15,1,0,61,0
35222,1,31,3,3,0,0,79,0
47183,1,26,1,3,1,0,50,0
22660,2,24,,1,0,0,47,0
11943,1,30,,1,1,0,76,0
57744,1,38,3,2,1,0,61,0
29142,1,27,5,3,1,0,49,0
15620,1,49,1,24,0,0,77,0
44301,1,32,,1,0,0,80,0
24875,1,26,,1,0,0,65,0
61614,1,35,5,7,0,0,48,0
73393,2,46,3,3,0,0,59,0
27459,1,34,2,6,0,0,69,0
27533,2,30,1,3,1,0,59,0
47584,1,53,1,11,0,0,67,0
75636,1,49,3,17,0,0,48,0
18390,1,35,3,5,0,0,68,0
69146,1,34,4,4,0,0,83,0
10122,7,26,2,5,0,0,46,0
20927,2,29,,1,0,0,47,0
60018,1,37,3,4,0,0,58,0
68791,2,25,4,2,0,0,80,0
25354,1,47,4,16,1,0,48,1
3491,1,28,2,5,0,0,85,0
74687,1,32,5,10,1,0,48,0
50049,1,34,3,4,0,0,71,0
30088,1,36,4,3,0,0,59,0
45140,1,32,2,6,0,0,59,0
35436,2,32,2,5,0,0,72,0
72109,1,29,4,3,0,0,52,0
24397,1,32,4,4,1,1,57,1
44154,5,27,3,2,0,0,52,0
60571,1,34,5,4,1,0,51,0
59722,1,36,3,8,0,0,48,0
27505,1,26,5,2,1,0,59,0
9072,1,33,4,3,1,0,94,1
14939,1,47,1,3,0,0,45,0
13888,1,42,3,2,0,0,48,0
44589,1,38,1,8,0,0,54,0
15024,4,32,5,8,0,0,93,1
57609,1,44,3,16,0,0,70,0
8470,1,33,4,5,1,0,46,0
47152,2,27,3,3,0,0,55,0
43153,2,50,5,14,0,0,85,0
4464,2,29,3,4,0,0,71,0
17190,1,29,5,4,0,0,84,1
109,2,28,3,2,0,0,79,0
48753,1,44,5,7,1,0,84,0
17602,1,32,4,2,1,0,61,0
71562,2,30,3,6,0,0,83,0
70593,1,37,5,4,1,0,59,0
4445,1,37,3,5,1,0,59,0
47038,1,32,1,4,0,0,52,0
31070,1,36,3,2,0,0,66,0
33000,2,34,3,4,1,0,62,0
20974,1,30,3,3,0,0,65,0
64764,1,26,,1,1,1,81,1
38060,1,31,1,2,0,0,51,0
40172,1,41,5,7,0,0,83,0
36808,1,33,2,7,0,0,57,0
9763,1,25,4,3,0,0,58,0
76038,1,39,3,6,1,0,58,0
71813,1,31,3,6,0,0,70,0
42426,1,56,2,16,0,0,79,0
61602,1,30,1,3,0,0,50,0
48737,2,29,5,5,1,0,63,1
65518,1,31,4,3,0,0,50,0
70606,2,28,4,2,0,0,82,0
7717,2,30,2,3,0,0,82,0
68386,1,30,1,2,0,0,84,0
51891,1,29,4,6,1,0,65,0
36931,1,31,3,3,1,0,60,0
60567,1,30,3,6,1,0,84,1
22820,1,26,,1,0,0,72,0
11028,1,44,5,4,1,0,60,0
6425,1,31,1,6,0,0,70,0
13047,1,35,4,3,0,0,77,0
63491,1,41,3,3,0,0,73,0
44748,1,33,5,7,1,0,47,0
32186,1,33,5,4,1,0,81,0
55275,1,26,5,3,0,0,60,0
48682,1,47,4,19,0,0,48,0
74930,1,28,5,5,1,0,51,0
45051,1,32,1,5,0,0,52,0
24675,1,36,3,10,0,0,50,0
28572,2,39,3,5,0,0,68,0
38163,1,29,5,2,1,0,81,0
65257,3,45,3,6,0,0,47,0
14988,1,48,2,4,0,0,58,0
12936,2,32,3,5,0,0,49,0
58180,1,39,2,5,0,0,63,0
20295,1,53,4,19,1,0,57,0
71073,1,42,3,4,0,0,53,0
2221,2,35,5,4,0,0,59,0
47279,1,30,1,4,0,0,82,0
40019,1,31,4,6,1,0,86,0
50781,1,26,5,3,0,0,56,0
64947,1,35,5,3,1,1,45,1
31258,1,45,1,5,0,0,52,0
11796,5,37,3,9,0,0,64,0
69912,1,42,5,10,1,0,59,0
38974,1,43,5,14,1,0,50,0
39544,1,27,5,2,1,0,58,0
5303,1,26,,1,1,0,48,0
14189,1,38,1,10,0,0,50,0
35644,1,31,4,5,1,0,82,0
23232,1,30,2,2,0,0,64,0
28851,1,37,4,11,0,0,70,0
8174,1,35,1,4,0,0,48,0
72379,2,38,5,4,1,0,63,0
7814,3,30,5,2,0,0,85,0
54321,1,30,,1,1,0,78,1
17873,2,28,3,2,0,0,52,0
32272,1,42,4,7,0,0,59,0
31847,1,33,2,7,0,0,68,0
11855,1,39,4,4,0,0,45,0
70961,1,33,2,7,1,0,49,0
32378,1,43,4,6,0,0,81,0
45064,1,30,4,7,0,0,59,0
28533,1,37,3,3,1,0,85,0
1412,1,33,4,6,1,1,81,0
15311,1,38,5,10,0,0,49,0
43786,2,27,3,3,1,0,85,1
13825,1,24,5,2,0,0,55,0
36207,1,35,2,10,0,0,58,0
18293,2,42,5,2,1,0,57,0
21794,1,32,3,7,0,0,53,0
11349,2,25,3,2,0,0,45,0
65504,1,35,5,6,1,0,67,0
73508,1,54,3,24,0,0,75,0
68754,1,33,2,3,0,0,45,0
6099,1,27,,1,0,0,48,0
38634,2,28,3,2,1,0,86,1
38271,1,36,3,8,0,0,44,0
53405,3,51,3,7,1,0,72,0
77609,2,31,3,2,0,0,57,0
22580,2,25,1,4,0,0,47,0
43497,1,45,3,3,0,0,51,0
14781,1,31,3,4,0,0,64,0
14576,1,39,3,11,0,0,53,0
45407,1,39,4,5,1,0,73,0
3124,1,25,2,2,1,0,66,0
70800,1,37,5,8,1,1,99,1
35493,1,29,5,3,1,0,80,0
25396,1,27,1,5,0,0,52,0
5283,1,27,4,3,0,0,59,0
10067,1,47,4,6,0,0,51,0
46585,1,36,4,3,0,0,55,0
3225,1,35,5,9,1,0,58,0
55264,1,35,3,8,0,0,51,0
22333,2,32,3,5,1,0,82,0
